,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
593,23.37622280946272,22.56048906926331,38.24789258530391,69.2023729784515,70.04486799109281,85.3773922095077,77.82576466270037,71.73829284316407,55.64257540308443,48.00414742624429,39.9895102734458,36.63449900031694,34.28583094385917,33.61381340727863,43.67936214703303,78.29026757179506,117.10826545993498,117.37599348214869,92.42673930506088,100.6205728251488,61.31146782111823,38.828882979650935,43.40356421332473,52.44905688114181
392,-26.612292869757603,-24.809966608768875,-12.77882958213467,-41.94675837125344,-6.783102845066885,29.575131550289967,33.53264890259937,9.002675318749596,36.15094421604695,-0.2252033981350969,33.95574376871153,-3.0954886122653456,40.04117969674323,41.49538949610456,81.95666321067125,102.50106378005668,114.62964721209464,132.71551337467378,87.91550205077141,82.98044917824642,60.54156328436497,56.14994607790526,23.513535033656037,23.47754953264257
821,43.60865253082441,61.49654494066922,61.67978018034536,83.19917590380219,59.45869359662135,78.28765297874949,83.31877942932911,50.61867335981638,31.900715021733816,20.77502956036447,2.706254622590574,-15.86845537411893,-5.811028432292485,-2.9317828419452354,29.787825247575384,50.88166662997867,91.43062195420008,117.65718761570524,85.83947063556599,41.092190613288125,8.928857255498144,-0.1313359859295175,22.849355736407567,9.171481995028156
744,99.52524551738976,73.28711519606931,90.56886294777804,63.37779827152882,81.23574663711113,92.90377164485936,80.96843381084555,64.22594183536516,14.619945475125142,-7.041955491408018,4.257358175782359,39.35887750433192,39.34982607113841,34.03820834755453,80.27084891639123,120.08151202285144,169.43990510038196,152.43406650940284,111.38573997097902,91.588684223906,73.37660909583174,57.71158171182626,44.22600009954871,34.09203638340273
940,33.8265067277405,46.71413253364596,29.02831728103071,13.2600943871952,19.228682487931017,84.64994189902107,89.41616085423738,69.83687570366142,37.97821168022496,13.90666424456106,17.03547488173089,-5.8496775437196575,30.315649102279128,36.79584044962717,83.35604978967024,102.03997210520504,154.87954765540226,158.52987006901068,143.89331594113224,114.39266837091708,89.24162548811304,106.17589702178748,64.7471764465662,75.76074332363324
351,17.92544713609245,12.796098647650588,8.471503647915426,28.51764082645577,32.94130119711359,35.87607301082628,41.59954699773559,12.405395058823572,12.598168802117373,-2.9288252748912957,-35.88783273161454,-8.091697599860094,12.634628810556446,11.386030560634437,27.695140854420373,72.68046275444867,128.84973250025027,157.30444789513126,134.7212969641296,92.67115752622009,77.24803180328229,54.72819853676985,22.467102130130367,41.7228201318753
684,20.96485380944313,41.48029910358639,28.9050896946746,4.4640127297574494,17.749739450728008,62.1721156439982,58.50578521428346,41.97005663427264,-0.0930808359129855,-10.122675431529563,8.944288540618631,30.010785293323124,49.857618319649845,14.49005411988152,69.90562682229765,99.55676136860488,124.05089381255924,127.8675707459808,91.63513581663682,58.1228199364194,47.21097556600839,18.93220799015279,12.802638416051677,4.119991618916295
982,7.620164641574068,11.008291412328276,9.10096530233394,-12.52433940351871,-10.91841354980614,15.825146895993122,31.36357819743117,12.76346624203051,-25.780212448709527,-41.44020025417274,-40.603577163807856,-35.094434586687164,-29.56513270780572,-2.9740083867701586,8.186710056375652,42.596693464286815,87.76963233504435,86.51338094853601,67.78421930560538,46.18552712414842,4.573735477175234,-13.560983032216626,-5.186969989050532,3.723102186451985
924,60.1026795045805,64.69842152617278,59.94496069647736,77.43832727943462,131.97937713016714,145.3859463151096,127.39312839757535,98.35616343140585,73.64955279986773,48.64390133913034,39.11049088878569,31.366069557340587,61.01670399331863,39.14124656722221,66.12636478172169,112.74756461933114,104.59323519771569,126.94582268934109,97.05851704525269,41.290183366559134,12.813584434519257,-1.9205189160864649,28.510178171164863,22.57794852855198
886,15.20863306091402,46.60350342522915,38.79988274062685,27.257330724202586,71.90981337986108,107.76866312813864,115.01820119266264,123.4776603525578,88.99758800008858,84.78706214615048,83.81274324918542,64.59179019420019,71.4889984099729,51.48273909039506,83.44604383701417,131.78856059431575,205.96220448595773,208.5903029082453,173.23247533540265,109.40653248560372,77.11236708442323,61.48815542888456,62.35979740842762,74.77336301113765
